,address,affordable_units,block,lat,latest_date,latlng,lon,lot,net_units,status,units,year,zone,unitcat
236,"2727 PACIFIC AV, San Francisco, CA",0.0,0978,37.7923209279,2015-11-24 00:00:00,,-122.440673118,011,-1.0,COMPLETE,1.0,2015,RH-1,4
237,"1655 BEACH ST, San Francisco, CA",0.0,0436E,37.8043551746,2015-11-02 00:00:00,,-122.4362472,029,-1.0,COMPLETE,1.0,2015,RH-2,4
238,"4066 26TH ST, San Francisco, CA",0.0,6553,37.748521433,2015-05-27 00:00:00,,-122.430751749,044,-1.0,COMPLETE,1.0,2015,RH-2,4
239,"344 03RD AV, San Francisco, CA",0.0,1434,37.7822786777,2015-03-20 00:00:00,,-122.460818565,031,-1.0,COMPLETE,1.0,2015,RM-1,4
240,"401 HARRISON ST, San Francisco, CA",0.0,3765,37.7860568853,2015-06-17 00:00:00,,-122.392231927,022,-1.0,COMPLETE,298.0,2015,RH DTR,4
241,"515 JOHN MUIR DR, San Francisco, CA",0.0,7282,37.7159703557,2015-04-15 00:00:00,,-122.497132822,005,2.0,COMPLETE,722.0,2015,RM-2,0
242,"432 GEARY ST, San Francisco, CA",0.0,0306,37.787264753,2015-06-24 00:00:00,,-122.410375794,006,-1.0,COMPLETE,69.0,2015,C-3-G,4
243,"50 GOLDEN GATE AV, San Francisco, CA",0.0,0343,37.7824475453,2015-08-07 00:00:00,,-122.411527536,008,-1.0,COMPLETE,76.0,2015,RC-4,4
244,"1400 GEARY BL, San Francisco, CA",0.0,0697,37.7855424186,2015-04-03 00:00:00,,-122.427133952,039,-1.0,COMPLETE,299.0,2015,RM-4,4
245,"1400 GEARY BL, San Francisco, CA",0.0,0697,37.7855424186,2015-07-17 00:00:00,,-122.427133952,039,-1.0,COMPLETE,298.0,2015,RM-4,4
246,"246 02ND ST, San Francisco, CA",0.0,3735,37.7857459966,2015-03-05 00:00:00,,-122.397398265,061,-1.0,PRE-FINAL,90.0,2015,C-3-O(SD),4
247,"515 DUBOCE AV, San Francisco, CA",0.0,3538,37.7690510559,2015-01-26 00:00:00,,-122.431792977,096,1.0,COMPLETE,3.0,2015,RTO,0
248,"435 DUBOCE AV, San Francisco, CA",0.0,3537,37.7691650079,2015-05-19 00:00:00,,-122.429861212,087,1.0,COMPLETE,6.0,2015,RTO,0
249,"56 RINGOLD ST, San Francisco, CA",0.0,3756,37.7739745939,2015-03-12 00:00:00,,-122.410526074,025,2.0,COMPLETE,3.0,2015,SLR,0
250,"639 NATOMA ST, San Francisco, CA",0.0,3727,37.7775734578,2015-02-18 00:00:00,,-122.410726108,035,1.0,COMPLETE,3.0,2015,RED,0
251,"40 RAUSCH ST, San Francisco, CA",0.0,3730,37.776394629,2015-08-11 00:00:00,,-122.410020677,067,1.0,PRE-FINAL,5.0,2015,RED,0
252,"1189 TENNESSEE ST, San Francisco, CA",0.0,4172,37.7569014823,2015-05-28 00:00:00,,-122.388844594,053,8.0,COMPLETE,8.0,2015,NCT-2,0
253,"451 HUDSON AV, San Francisco, CA",0.0,4591C,37.7287620653,2015-11-20 00:00:00,,-122.368894098,045,9.0,TCO ISSUED,9.0,2015,RM-1,0
254,"350 LINDEN ST, San Francisco, CA",0.0,0817,37.7765080959,2015-01-26 00:00:00,,-122.423856568,069,6.0,COMPLETE,6.0,2015,HAYES NCT,0
255,"145 ALBION ST, San Francisco, CA",0.0,3568,37.7641376007,2015-01-08 00:00:00,,-122.422472069,068,3.0,COMPLETE,3.0,2015,RTO-Mission,0
256,"39 SAN CARLOS ST, San Francisco, CA",0.0,3576,37.7621585217,2015-06-18 00:00:00,,-122.41995748,018,3.0,COMPLETE,3.0,2015,MISSION NCT,0
257,"251 ARKANSAS ST, San Francisco, CA",0.0,4004,37.7630786115,2015-06-09 00:00:00,,-122.398207631,024,3.0,COMPLETE,3.0,2015,RH-3,0
258,"834 BRODERICK ST, San Francisco, CA",0.0,1156,37.7781504513,2015-07-31 00:00:00,,-122.43978235,022,2.0,COMPLETE,4.0,2015,RM-1,0
259,"1020 PIERCE ST, San Francisco, CA",0.0,0754,37.7795985794,2015-10-05 00:00:00,,-122.435023114,012,2.0,COMPLETE,4.0,2015,RM-3,0
260,"1681 FULTON ST, San Francisco, CA",0.0,1185,37.7758325579,2015-10-06 00:00:00,,-122.444381576,026,2.0,COMPLETE,3.0,2015,RH-3,0
261,"722 LARKIN ST, San Francisco, CA",0.0,0321,37.784567304,2015-06-18 00:00:00,,-122.417536529,022,1.0,COMPLETE,8.0,2015,RC-4,0
262,"47 PALM AV, San Francisco, CA",0.0,1040,37.7848533275,2015-05-11 00:00:00,,-122.458337727,009,1.0,COMPLETE,5.0,2015,RM-1,0
263,"435 DUBOCE AV, San Francisco, CA",0.0,3537,37.7691650079,2015-05-19 00:00:00,,-122.429861212,087,3.0,COMPLETE,5.0,2015,RTO,0
264,"1155 CHURCH ST, San Francisco, CA",0.0,3650,37.7523889023,2015-07-30 00:00:00,,-122.427181024,028,1.0,COMPLETE,3.0,2015,RM-1,0
265,"430 IRVING ST, San Francisco, CA",0.0,1754,37.7644634337,2015-06-16 00:00:00,,-122.462627872,012,1.0,PRE-FINAL,3.0,2015,INNER SUNSET NCD,0
266,"531 TARAVAL ST, San Francisco, CA",0.0,2410,37.7429666679,2015-07-31 00:00:00,,-122.471943745,029C,1.0,COMPLETE,3.0,2015,NC-2,0
267,"546 HAIGHT ST, San Francisco, CA",0.0,0848,37.7722254426,2015-05-18 00:00:00,,-122.431243574,006,1.0,COMPLETE,5.0,2015,NC-2,0
268,"1567 MCALLISTER ST, San Francisco, CA",0.0,1180,37.7775858794,2015-05-19 00:00:00,,-122.437748679,027,4.0,COMPLETE,4.0,2015,RH-3,0
269,"3820 24TH ST, San Francisco, CA",0.0,3651,37.7519065502,2015-11-13 00:00:00,,-122.427987935,017,4.0,COMPLETE,4.0,2015,24TH-NOE NCD,0
270,"247 COLLINS ST, San Francisco, CA",0.0,1090,37.7813977377,2015-05-13 00:00:00,,-122.450264203,004,3.0,COMPLETE,3.0,2015,RH-3,0
271,"522 28TH AV, San Francisco, CA",0.0,1517,37.7794276767,2015-06-30 00:00:00,,-122.487578747,030,3.0,COMPLETE,3.0,2015,RM-1,0
272,"280 06TH AV, San Francisco, CA",0.0,1428,37.7834130927,2015-11-06 00:00:00,,-122.464127334,027,3.0,COMPLETE,3.0,2015,RM-1,0
273,"824 HYDE ST, San Francisco, CA",0.0,0280,37.7885785688,2015-08-11 00:00:00,,-122.416591817,017,-8.0,FINAL INSPECT/APPRVD,-8.0,2015,RC-4,4
274,"1168 JAMESTOWN AV, San Francisco, CA",0.0,4968,37.7201956579,2015-08-18 00:00:00,,-122.396285518,016,-1.0,COMPLETE,3.0,2015,NC-3,4
275,"1533 SUTTER ST, San Francisco, CA",0.0,0688,37.7866576907,2015-05-15 00:00:00,,-122.426481408,030,-1.0,COMPLETE,2.0,2015,RM-4,4
276,"910 SHOTWELL ST, San Francisco, CA",0.0,3641,37.7536257443,2015-06-04 00:00:00,,-122.415597665,071,-1.0,COMPLETE,2.0,2015,RH-3,4
277,"3226 26TH ST, San Francisco, CA",0.0,6525,37.7494969047,2015-12-28 00:00:00,,-122.414428103,015,-1.0,COMPLETE,2.0,2015,RH-3,4
278,"2621 21ST ST, San Francisco, CA",0.0,4142,37.7575507267,2015-06-15 00:00:00,,-122.407244771,041,-1.0,COMPLETE,2.0,2015,RM-1,4
279,"341 05TH AV, San Francisco, CA",0.0,1437,37.7822184341,2015-03-25 00:00:00,,-122.463624564,006,-1.0,COMPLETE,3.0,2015,RM-1,4
280,"1669 SACRAMENTO ST, San Francisco, CA",0.0,0644,37.7913121224,2015-10-13 00:00:00,,-122.42027088,019,-1.0,COMPLETE,3.0,2015,RM-3,4
281,"1673 SACRAMENTO ST, San Francisco, CA",0.0,0644,37.7913121224,2015-08-14 00:00:00,,-122.42027088,019,-1.0,COMPLETE,3.0,2015,RM-3,4
